SPX Index,SPX Index,SPTSX Index,SPTSX Index,UKX Index,UKX Index,DAX Index,DAX Index,CAC Index,CAC Index,HSI Index,HSI Index,NIFTY Index,NIFTY Index,NKY Index,NKY Index
Dates,Close,Dates,Close,Dates,Close,Dates,Close,Dates,Close,Dates,Close,Dates,Close,Dates,Close
7/30/18 9:30,2812.93,7/30/18 9:30,16424.67,7/30/18 3:00,7676.1,7/30/18 3:00,12831.17,7/30/18 3:00,5488.23,7/29/18 21:15,28631.05,7/29/18 23:45,11289.6,7/29/18 20:00,22607
7/30/18 9:45,2813.55,7/30/18 9:45,16403.46,7/30/18 3:15,7677.33,7/30/18 3:15,12826.06,7/30/18 3:15,5488.06,7/29/18 21:30,28709.05,7/30/18,11304.05,7/29/18 20:15,22557.63
7/30/18 10:00,2810.83,7/30/18 10:00,16384.93,7/30/18 3:30,7681.31,7/30/18 3:30,12834.65,7/30/18 3:30,5492.85,7/29/18 21:45,28789.11,7/30/18 0:15,11297.15,7/29/18 20:30,22526.94
7/30/18 10:15,2815.89,7/30/18 10:15,16407.96,7/30/18 3:45,7678.99,7/30/18 3:45,12828.3,7/30/18 3:45,5489.08,7/29/18 22:00,28717.18,7/30/18 0:30,11269.7,7/29/18 20:45,22544.04
7/30/18 10:30,2812.51,7/30/18 10:30,16395.72,7/30/18 4:00,7675.21,7/30/18 4:00,12819.25,7/30/18 4:00,5482.24,7/29/18 22:15,28696.97,7/30/18 0:45,11262.5,7/29/18 21:00,22572.31
7/30/18 10:45,2810.33,7/30/18 10:45,16384.71,7/30/18 4:15,7687.99,7/30/18 4:15,12822.26,7/30/18 4:15,5488.46,7/29/18 22:30,28666.4,7/30/18 1:00,11273.05,7/29/18 21:15,22567.16
7/30/18 11:00,2808.71,7/30/18 11:00,16381.07,7/30/18 4:30,7684.13,7/30/18 4:30,12822.74,7/30/18 4:30,5489.1,7/29/18 22:45,28592.19,7/30/18 1:15,11274.35,7/29/18 21:30,22584.27
7/30/18 11:15,2808.93,7/30/18 11:15,16386.05,7/30/18 4:45,7681.45,7/30/18 4:45,12824.47,7/30/18 4:45,5491.36,7/29/18 23:00,28605.13,7/30/18 1:30,11283.25,7/29/18 21:45,22604.15
7/30/18 11:30,2808.14,7/30/18 11:30,16379.77,7/30/18 5:00,7683.23,7/30/18 5:00,12831.29,7/30/18 5:00,5492.35,7/29/18 23:15,28612.02,7/30/18 1:45,11284.9,7/29/18 22:00,22585.61
7/30/18 11:45,2808.82,7/30/18 11:45,16375.21,7/30/18 5:15,7676.67,7/30/18 5:15,12820.19,7/30/18 5:15,5488.69,7/29/18 23:30,28606.26,7/30/18 2:00,11283.2,7/29/18 22:15,22585.29
7/30/18 12:00,2803.57,7/30/18 12:00,16366.84,7/30/18 5:30,7673.26,7/30/18 5:30,12821.37,7/30/18 5:30,5487.1,7/29/18 23:45,28608.93,7/30/18 2:15,11287.1,7/29/18 22:30,22587.7
7/30/18 12:15,2803.47,7/30/18 12:15,16375.34,7/30/18 5:45,7676.32,7/30/18 5:45,12829.06,7/30/18 5:45,5492.54,7/30/18,28610.12,7/30/18 2:30,11285.7,7/29/18 23:30,22547.71
